Year,Industry_aggregation_NZSIOC,Industry_code_NZSIOC,Industry_name_NZSIOC,Units,Variable_code,Variable_name,Variable_category,Value
2018,Level 1,99999,All industries,Dollars (millions),H01,Total income,Financial performance,691859
2018,Level 1,99999,All industries,Dollars (millions),H04,"Sales, government funding, grants and subsidies",Financial performance,605766
2018,Level 1,99999,All industries,Dollars (millions),H05,"Interest, dividends and donations",Financial performance,63509
2018,Level 1,99999,All industries,Dollars (millions),H07,Non-operating income,Financial performance,22583
2018,Level 1,99999,All industries,Dollars (millions),H08,Total expenditure,Financial performance,597623
2018,Level 1,99999,All industries,Dollars (millions),H09,Interest and donations,Financial performance,34223
2018,Level 1,99999,All industries,Dollars (millions),H10,Indirect taxes,Financial performance,7124
2018,Level 1,99999,All industries,Dollars (millions),H11,Depreciation,Financial performance,19863
2018,Level 1,99999,All industries,Dollars (millions),H12,Salaries and wages paid,Financial performance,106351
2018,Level 1,99999,All industries,Dollars (millions),H13,Redundancy and severance,Financial performance,297
2018,Level 1,99999,All industries,Dollars (millions),H14,Salaries and wages to self employed commission agents,Financial performance,1659
2018,Level 1,99999,All industries,Dollars (millions),H19,Purchases and other operating expenses,Financial performance,418642
2018,Level 1,99999,All industries,Dollars (millions),H20,Non-operating expenses,Financial performance,9762
2018,Level 1,99999,All industries,Dollars (millions),H21,Opening stocks,Financial performance,59433
2018,Level 1,99999,All industries,Dollars (millions),H22,Closing stocks,Financial performance,63592
2018,Level 1,99999,All industries,Dollars (millions),H23,Surplus before income tax,Financial performance,98395
2018,Level 1,99999,All industries,Dollars (millions),H24,Total assets,Financial position,2068648
2018,Level 1,99999,All industries,Dollars (millions),H25,Current assets,Financial position,571177
2018,Level 1,99999,All industries,Dollars (millions),H26,Fixed tangible assets,Financial position,499274
